"Airport.Code","Airport.Name","Time.Label","Month","Time.Month Name","Time.Year","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"MCO","Orlando, FL: Orlando International","2004/05","5","May","2004","439","565","634","3","74","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","17","1712","3","7159","8891","21336","36545","24365","203","87679","5230"
"MDW","Chicago, IL: Chicago Midway International","2004/05","5","May","2004","251","643","848","2","100","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.","11","52","1847","23","5807","7729","12372","41436","41074","123","102599","7594"
"MIA","Miami, FL: Miami International","2004/05","5","May","2004","262","257","420","4","30","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","41","974","21","4547","5583","17104","19341","18221","190","57745","2889"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2004/05","5","May","2004","506","525","1036","5","137","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","217","2209","46","9994","12466","31145","34001","39391","244","117390","12609"
"ORD","Chicago, IL: Chicago O'Hare International","2004/05","5","May","2004","1106","2759","6883","1","215","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","14","1968","10964","236","19588","32756","94191","229539","527992","133","873086","21231"
"PDX","Portland, OR: Portland International","2004/05","5","May","2004","216","291","251","2","22","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","10","36","781","1","3897","4715","9308","15662","8620","62","34951","1299"
"PHL","Philadelphia, PA: Philadelphia International","2004/05","5","May","2004","379","512","1425","2","88","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","169","2405","35","7074","9683","22385","39444","82530","109","152661","8193"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2004/05","5","May","2004","548","757","652","11","53","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","153","2020","21","12077","14271","28688","39187","23765","284","96087","4163"
"SAN","San Diego, CA: San Diego International","2004/05","5","May","2004","363","413","368","6","31","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","40","1180","10","6014","7244","16051","23394","15113","179","57018","2281"
"SEA","Seattle, WA: Seattle/Tacoma International","2004/05","5","May","2004","485","628","678","12","38","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","78","1845","11","7392","9326","24038","35390","23998","325","86711","2960"
"SFO","San Francisco, CA: San Francisco International","2004/05","5","May","2004","450","441","1314","1","64","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","12","86","2274","11","8786","11157","23439","27991","65051","79","121707","5147"
"SLC","Salt Lake City, UT: Salt Lake City International","2004/05","5","May","2004","634","336","624","22","66","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","12","114","1684","5","9856","11659","27173","18347","24051","598","73856","3687"
"TPA","Tampa, FL: Tampa International","2004/05","5","May","2004","271","444","349","2","33","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","12","1099","3","4723","5837","14124","25069","14230","54","56088","2611"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2004/06","6","June","2004","1667","2070","7274","11","695","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","13","598","11719","134","21845","34296","116385","143319","407072","381","714316","47159"
"BOS","Boston, MA: Logan International","2004/06","6","June","2004","520","794","1053","8","119","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","16","241","2491","17","8527","11276","28666","54520","49765","361","141102","7790"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2004/06","6","June","2004","427","829","619","10","108","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","46","1994","13","6829","8882","21305","52918","36216","258","119329","8632"
"CLT","Charlotte, NC: Charlotte Douglas International","2004/06","6","June","2004","390","597","668","1","67","American Airlines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","77","1724","37","6816","8654","19148","38064","29552","59","91942","5119"
"DCA","Washington, DC: Ronald Reagan Washington National","2004/06","6","June","2004","410","385","669","1","145","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","161","1612","31","5811","7615","20332","25086","36216","18","92314","10662"
"DEN","Denver, CO: Denver International","2004/06","6","June","2004","969","726","1259","7","141","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","113","3101","16","10173","13403","49397","46198","43857","241","149911","10218"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2004/06","6","June","2004","1482","2243","3381","19","729","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","642","7857","284","19643","28426","110410","164219","186832","680","520185","58044"
"DTW","Detroit, MI: Detroit Metro Wayne County","2004/06","6","June","2004","659","670","1055","9","164","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","232","2559","20","9522","12333","45342","38788","44072","247","143493","15044"
"EWR","Newark, NJ: Newark Liberty International","2004/06","6","June","2004","486","947","1813","11","127","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","275","3383","50","9427","13135","30346","66955","125091","237","234400","11771"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2004/06","6","June","2004","322","489","382","4","70","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","14","1267","7","3830","5118","15282","29510","15154","148","65657","5563"
"IAD","Washington, DC: Washington Dulles International","2004/06","6","June","2004","362","849","670","5","70","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","15","178","1956","27","6894","9055","17386","64099","39908","173","127422","5856"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2004/06","6","June","2004","740","1456","2870","22","279","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","291","5368","272","10921","16852","51280","101151","143749","690","324522","27652"
"JFK","New York, NY: John F. Kennedy International","2004/06","6","June","2004","417","472","709","11","90","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.","12","61","1697","19","5787","7564","23277","27111","30133","445","87457","6491"
"LAS","Las Vegas, NV: McCarran International","2004/06","6","June","2004","853","1343","1214","21","69","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","15","102","3500","15","9472","13089","47121","68766","42727","977","165511","5920"
"LAX","Los Angeles, CA: Los Angeles International","2004/06","6","June","2004","1213","1217","1614","21","126","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","152","4192","15","14881","19240","61729","69501","58010","597","199687","9850"
"LGA","New York, NY: LaGuardia","2004/06","6","June","2004","423","603","1212","5","154","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","12","305","2397","64","7972","10738","25996","39633","79085","132","155996","11150"
"MCO","Orlando, FL: Orlando International","2004/06","6","June","2004","565","812","818","6","106","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","15","23","2309","31","6472","8835","30196","52605","31993","203","123908","8911"
"MDW","Chicago, IL: Chicago Midway International","2004/06","6","June","2004","257","763","892","11","109","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.","11","40","2036","6","5685","7767","10599","45792","39323","488","102512","6310"
"MIA","Miami, FL: Miami International","2004/06","6","June","2004","348","382","554","2","60","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","39","1346","11","3938","5334","20888","29205","22719","91","77612","4709"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2004/06","6","June","2004","712","650","1150","14","147","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","132","2674","41","9746","12593","47433","39481","43735","418","140638","9571"
"ORD","Chicago, IL: Chicago O'Hare International","2004/06","6","June","2004","1269","2422","5016","7","244","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","13","849","8959","37","21453","31298","93390","160734","282762","310","554653","17457"
"PDX","Portland, OR: Portland International","2004/06","6","June","2004","284","426","306","6","34","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","10","35","1054","4","3668","4761","14348","25616","10370","172","52903","2397"
"PHL","Philadelphia, PA: Philadelphia International","2004/06","6","June","2004","448","683","1347","4","94","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","217","2576","35","7070","9898","25069","46923","75174","99","154521","7256"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2004/06","6","June","2004","859","1134","986","22","80","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","145","3079","12","10728","13964","45241","56626","33349","906","142571","6449"
"SAN","San Diego, CA: San Diego International","2004/06","6","June","2004","471","624","467","9","44","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","29","1614","4","5485","7132","21619","32392","16717","285","74175","3162"
"SEA","Seattle, WA: Seattle/Tacoma International","2004/06","6","June","2004","694","915","799","13","54","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","108","2477","9","7253","9847","33604","50456","26027","451","115328","4790"
"SFO","San Francisco, CA: San Francisco International","2004/06","6","June","2004","617","630","1318","7","81","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","120","2650","4","8283","11057","30563","37513","61816","182","136023","5949"
"SLC","Salt Lake City, UT: Salt Lake City International","2004/06","6","June","2004","743","510","836","17","98","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","12","101","2202","26","9473","11802","33835","26242","31157","412","99598","7952"
"TPA","Tampa, FL: Tampa International","2004/06","6","June","2004","306","550","499","1","62","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","11","1419","30","4246","5706","15722","33978","21659","53","76294","4882"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2004/07","7","July","2004","1854","1811","5038","9","491","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","13","475","9202","101","26116","35894","114679","107822","203409","390","452768","26468"
"BOS","Boston, MA: Logan International","2004/07","7","July","2004","635","815","1481","8","177","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","16","378","3114","15","8429","11936","38619","60397","77332","272","190297","13677"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2004/07","7","July","2004","432","839","705","6","124","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","90","2109","50","6933","9182","21809","52735","43389","176","131711","13602"
"CLT","Charlotte, NC: Charlotte Douglas International","2004/07","7","July","2004","381","550","477","0","58","American Airlines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","104","1467","10","7190","8771","20873","36232","20439","0","82137","4593"
"DCA","Washington, DC: Ronald Reagan Washington National","2004/07","7","July","2004","463","427","761","2","130","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","15","257","1785","39","5769","7850","23422","27172","37385","122","97478","9377"
"DEN","Denver, CO: Denver International","2004/07","7","July","2004","892","744","962","7","132","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","102","2737","67","11073","13979","46211","53184","41836","277","149862","8354"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2004/07","7","July","2004","1317","1621","1756","13","257","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","561","4962","138","23856","29517","92990","97974","75675","546","286362","19177"
"DTW","Detroit, MI: Detroit Metro Wayne County","2004/07","7","July","2004","675","646","908","5","133","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","216","2369","10","10141","12736","50252","39899","35067","335","135559","10006"
"EWR","Newark, NJ: Newark Liberty International","2004/07","7","July","2004","523","979","2474","12","160","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","629","4151","92","8924","13796","36204","73809","199350","471","323462","13628"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2004/07","7","July","2004","354","489","456","0","37","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","18","1335","20","3810","5183","18947","33311","17962","21","73056","2815"
"IAD","Washington, DC: Washington Dulles International","2004/07","7","July","2004","419","1186","1233","1","74","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","15","384","2914","44","8536","11878","22414","106669","70807","44","205881","5947"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2004/07","7","July","2004","533","946","1377","24","114","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","13","100","2993","88","14297","17478","33801","57531","52749","881","154407","9445"
"JFK","New York, NY: John F. Kennedy International","2004/07","7","July","2004","548","598","1144","17","163","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.","12","90","2469","23","5726","8308","30416","39466","55678","574","139007","12873"
"LAS","Las Vegas, NV: McCarran International","2004/07","7","July","2004","836","1279","879","19","53","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","88","3065","13","10273","13439","41629","65156","29085","656","140766","4240"
"LAX","Los Angeles, CA: Los Angeles International","2004/07","7","July","2004","1236","1233","1245","21","117","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","14","194","3849","12","16285","20340","66037","73000","44923","697","192156","7499"
