Position,Location,Gender,Education,Experience (Years),Salary
Research Analyst,Chennai,Male,B.Com,14,2421056
Research Analyst,Gurugram,Male,B.A,23,1813840
Research Analyst,Hyderabad,Male,B.B.A/ B.M.S,8,1651301
Research Analyst,Pune,Male,B.Sc,19,1042432
Research Analyst,Pune,Male,B.Tech/B.E.,28,577648
Advance Maths Teacher,vishakapatnam - Andhra Pradesh,Female,NA,28,2174039
Research Analyst,Chennai,Male,B.Sc,23,2394017
Python with react,Chennai,Male,B.Sc,21,1244103
Python with react,Chennai,Female,B.A,7,599190
Research Analyst,Bengaluru,Male,B.Tech/B.E.,17,2461466
Python with react,Pune,Female,B.Tech/B.E.,14,1367861
ServiceNow,Pune,Male,B.Sc,18,1676369
ServiceNow,Mumbai,Male,Diploma,7,2383087
Python with react,Pune,Male,HSC,9,1902421
ServiceNow,Mumbai,Female,B.Tech/B.E.,7,777815
Python with react,New Delhi,Female,B.Tech/B.E.,24,1200537
Python with react,Noida,Male,BCA,23,1516160
Python with react,Ahemdabad - Gujarat,Female,B.Tech/B.E.,7,877748
Python with react,Noida,Male,B.Tech/B.E.,16,1598660
ServiceNow,Noida,Female,BCA,19,1850688
Python with react,Patna,Male,NA,11,665136
Python with react,Bengaluru,Male,B.A,22,1300104
ServiceNow,Lucknow,Male,B.Com,21,1976721
ServiceNow,Mumbai,Male,B.Tech/B.E.,22,682016
MUREX,Noida,Female,BCA,19,1040106
Research Analyst,Ghaziabad,Female,BCA,27,2083737
Research Analyst,Pune,Female,B.Tech/B.E.,28,568201
Advance Maths Teacher,Navi Mumbai,Male,Diploma,21,1571619
ServiceNow,Noida,Female,B.Com,12,950157
MUREX,Pune,Male,Diploma,24,1935459
Python with react,Nagpur,Female,BCA,26,1614754
Python with react,Hyderabad,Male,B.Tech/B.E.,21,1130511
ServiceNow,Noida,Female,BCA,22,838507
Python with react,Chennai,Male,B.Sc,11,1148439
Python with react,New Delhi,Male,B.Tech/B.E.,18,1463611
Python with react,Visakhapatnam,Female,B.Sc,21,2451631
Research Analyst,Bengaluru,Female,B.Com,11,1006114
Research Analyst,Bengaluru,Female,B.Tech/B.E.,15,1462962
Research Analyst,Hyderabad,Male,B.Tech/B.E.,27,2464651
Research Analyst,Noida,Female,B.A,15,2433041
Research Analyst,Gurugram,Male,B.Sc,15,2251542
ServiceNow,"Fazilka , Punjab - Punjab",Male,BCA,24,1566012
Python with react,Coimbatore,Female,B.Com,25,672324
ServiceNow,Indore,Male,B.Tech/B.E.,11,647664
Research Analyst,Hyderabad,Male,B.Com,18,1574208
Research Analyst,Noida,Male,Diploma,24,1329584
MUREX,"Cuttack, Odisha - Odisha",Male,BCA,8,2499733
Python with react,New Delhi,Female,B.Tech/B.E.,27,1154487
Research Analyst,Hyderabad,Male,B.A,14,1176649
ServiceNow,Kanpur,Male,B.A,14,1633684
MUREX,Navi Mumbai,Male,B.A,20,2397591
Python with react,Bhubaneswar,Male,B.Tech/B.E.,14,1654573
Python with react,New Delhi,Female,BCA,19,1735280
ServiceNow,Pune,Female,B.Sc,5,1496899
Python with react,Chennai,Male,B.Tech/B.E.,17,1696465
Python with react,Ayodhya - Uttar Pradesh,Female,BCA,9,1255879
MUREX,Hyderabad,Male,B.Com,6,2347772
Research Analyst,Hubli,Female,B.Com,23,2427921
Python with react,Gurugram,Female,B.Tech/B.E.,22,533839
Research Analyst,Mumbai,Female,B.Tech/B.E.,16,2056926
ServiceNow,Bengaluru,Male,B.Com,16,1028463
Research Analyst,Patna,Male,B.B.A/ B.M.S,28,2210436
Research Analyst,Pune,Male,BCA,24,1689426
ServiceNow,Pune,Male,B.Tech/B.E.,18,585543
Python with react,Hyderabad,Female,BCA,22,1993284
ServiceNow,Nagaur,Female,B.B.A/ B.M.S,25,2150773
Research Analyst,New Delhi,Male,B.Tech/B.E.,14,1443765
ServiceNow,Lucknow,Male,B.Tech/B.E.,16,1264413
ServiceNow,Noida,Male,B.Com,28,959570
ServiceNow,Chennai,Male,B.Sc,8,2469020
ServiceNow,New Delhi,Male,B.Com,25,2006025
Python with react,Kaithal,Male,B.Com,28,1234989
DATA ENGINEER,Bengaluru,Male,B.Tech/B.E.,5,2072484
Research Analyst,New Delhi,Male,BCA,7,556863
Research Analyst,Hyderabad,Male,B.Tech/B.E.,7,1915347
Research Analyst,New Delhi,Male,B.Tech/B.E.,15,2176244
Research Analyst,Mumbai Suburban,Female,B.Tech/B.E.,5,1435705
data engineer,Hyderabad,Female,B.Com,23,666703
Research Analyst,New Delhi,Male,B.Tech/B.E.,23,1566081
Data Engineer,Kolkata,Female,B.Tech/B.E.,20,1194600
Research Analyst,Bengaluru,Male,B.Com,5,913829
Research Analyst,Noida,Male,B.Com,13,1482592
Research Analyst,Noida,Female,B.Tech/B.E.,17,1208087
Research Analyst,Coimbatore,Female,BCA,5,502818
Research Analyst,Mumbai,Female,B.Tech/B.E.,20,1659134
Research Analyst,Gurugram,Male,B.B.A/ B.M.S,11,1789387
Research Analyst,Noida,Male,B.Com,21,1653091
Research Analyst,Ghaziabad,Male,B.Sc,27,977716
Research Analyst,Bhatkal,Male,B.Tech/B.E.,14,2041229
Research Analyst,Noida,Female,BCA,10,574909
Research Analyst,Chennai,Female,NA,7,1128174
Research Analyst,Noida,Female,B.Tech/B.E.,16,2195901
Research Analyst,Pune,Male,B.B.A/ B.M.S,23,1510825
Research Analyst,Prayagraj,Male,B.Tech/B.E.,19,543873
Research Analyst,Bengaluru,Female,B.Tech/B.E.,11,2494075
Research Analyst,Gurugram,Male,B.Sc,27,594557
Research Analyst,New Delhi,Male,BCA,27,2296583
Research Analyst,Gurugram,Male,B.A,8,1910932
Research Analyst,Hyderabad,Male,B.Tech/B.E.,28,1913048
Research Analyst,Pune,Male,B.Sc,13,625915
Research Analyst,New Delhi,Male,B.Tech/B.E.,25,1446554
Research Analyst,Noida,Male,B.Tech/B.E.,22,1756028
Research Analyst,Not Mentioned,Male,BCA,10,1070913
Research Analyst,Kochi,Female,B.Sc,23,1412084
Research Analyst,Chandigarh,Male,B.Tech/B.E.,11,950063
Research Analyst,Chennai,Female,BCA,28,2470434
Research Analyst,Noida,Male,NA,10,646722
Research Analyst,Gurugram,Female,B.Tech/B.E.,17,1889605
Research Analyst,Amritsar,Male,B.Com,12,1762471
Python with react,Jalgaon,Female,B.Tech/B.E.,11,826310
Data Engineer,Kolhapur,Male,B.Tech/B.E.,27,1445801
Python with react,Bilaspur,Female,B.Com,19,1309714
Data Engineer,Noida,Female,B.Sc,27,1074710
Python with react,Thiruvananthapuram,NA,B.Sc,9,765040
Data Engineer,Gurugram,Male,B.Tech/B.E.,20,2126817
Data Engineer,New Delhi,Male,Diploma,26,1568368
Research Analyst,New Delhi,Male,BCA,17,838035
Python with react,Mumbai,Male,B.Tech/B.E.,19,716809
Research Analyst,Gurugram,Male,BCA,18,1634045
Research Analyst,Pune,Male,BCA,24,1560976
Research Analyst,Hyderabad,Female,B.Tech/B.E.,7,843190
Research Analyst,New Delhi,Female,B.Sc,24,1693717
Research Analyst,Gurugram,Male,B.Sc,23,1968350
REsearch Analyst,Pune,Male,Diploma,24,536490
Research Analyst,Gurugram,Male,B.Tech/B.E.,25,2410893
Research analst,Bengaluru,Male,B.B.A/ B.M.S,22,928505
Research Analyst,Hyderabad,Female,B.Sc,5,1350204
Research analst,Bengaluru,Male,B.Tech/B.E.,21,546022
Research Analyst,New Delhi,Male,B.A,18,2463678
Research Analyst,Gurugram,Female,B.Com,27,1834254
Research Analyst,Pune,Male,B.Tech/B.E.,15,894851
Research analst,Mumbai,Male,B.Tech/B.E.,6,1695696
Research analst,Hyderabad,Female,B.Sc,24,2291679
Research analst,Ramnagar,Male,B.A,24,1682632
Research analst,New Delhi,Female,B.Sc,11,1496114
ServiceNow,Gurugram,Male,BCA,22,1399246
Research analst,Noida,Female,B.Tech/B.E.,10,1245052
Research analst,Bilaspur,Male,B.Tech/B.E.,14,1164579
Research analst,New Delhi,Female,B.Tech/B.E.,6,1673738
ServiceNow,Pune,Male,B.Sc,22,609954
Data Engineer,New Delhi,Male,B.Tech/B.E.,22,1719329
Python Developer,Noida,Female,B.Com,11,2301507
Python Developer,Pune,Female,BCA,18,891140
Research Analyst,Hyderabad,Female,B.Sc,23,2431734
Data Engineer,Mumbai,Female,B.Sc,23,1772217
ServiceNow,Kolkata,Female,B.Tech/B.E.,9,1953282
ServiceNow,Navi Mumbai,Male,B.Tech/B.E.,7,1465335
ServiceNow,New Delhi,Male,B.Com,22,1552506
ServiceNow,Guwahati,Female,B.Tech/B.E.,25,574005
Research Analyst,Bengaluru,Male,BCA,26,1411064
Research Analyst,Bengaluru,Male,B.Tech/B.E.,27,742755
Python Developer,Chennai,Female,B.A,20,611120
Research Analyst,New Delhi,Female,NA,7,1431892
Research Analyst,Bengaluru,Male,Diploma,22,2441565
ServiceNow,Gurugram,Male,B.Tech/B.E.,26,1334950
Research Analyst,New Delhi,Female,B.Com,11,1708300
Research Analyst,Kolkata,Male,B.Com,15,1843504
Research Analyst,Pune,Male,B.A,25,593001
Research Analyst,New Delhi,Female,B.Com,18,692435
BUISINESS Analyst,New Delhi,Male,B.A,9,865343
Research Analyst,New Delhi,Female,B.Tech/B.E.,27,2317252
BUISINESS Analyst,Nagpur,Female,B.Com,17,1567442
citicorp,Noida,Female,B.Tech/B.E.,20,1644576
Research Analyst,Mumbai,Male,B.Tech/B.E.,9,2091296
Research Analyst,New Delhi,Male,B.Sc,6,2292086
BUISINESS Analyst,Tiruchirapalli,Male,B.Tech/B.E.,25,514941
BUISINESS Analyst,Mumbai,Female,Diploma,21,1652966
BUISINESS Analyst,New Delhi,Male,BCA,13,2018021
Salesforce FSL,Pune,Male,B.Tech/B.E.,28,2357337
buusiness analyst,Bengaluru,Male,B.Tech/B.E.,25,2326934
Research Analyst,Pune,Male,B.Tech/B.E.,21,1994313
BUISINESS Analyst,Pune,Male,B.Com,24,1363412
Research Analyst,Noida,Male,B.A,5,1472732
Scripting,Bengaluru,Male,B.Com,10,883014
Scripting,Noida,Male,B.Com,22,784245
Research Analyst,Dindigul,Female,B.B.A/ B.M.S,21,1220550
Data Engineer,Noida,Female,B.A,19,2316015
Scripting,Mumbai,Male,BCA,26,1795327
Research Analyst,Bengaluru,Male,B.A,25,1848252
Scripting,Siliguri,Male,B.Tech/B.E.,26,2229286
Scripting,Kolkata,Male,B.Tech/B.E.,20,862911
BUISINESS Analyst,Hyderabad,Male,B.A,21,2440216
Research Analyst,Bengaluru,Female,B.B.A/ B.M.S,9,1689874
Scripting,Mumbai,Male,Diploma,19,1003792
HR DATA,New Delhi,Female,B.Tech/B.E.,21,1620198
Scripting,New Delhi,Female,B.Tech/B.E.,17,1011715
Resarch Analyst,New Delhi,Female,B.Tech/B.E.,9,2304803
BUISINESS Analyst,Noida,Male,B.Tech/B.E.,28,828386
Scripting,Hyderabad,Male,B.A,19,1262297
Resarch Analyst,Gurugram,Male,B.Tech/B.E.,9,1471597
Data Engineer,"Noida, Delhi - Uttar Pradesh",Male,NA,5,2267122
Resarch Analyst,Bengaluru,Female,B.Tech/B.E.,26,897481
Resarch Analyst,Pune,Male,B.Com,11,934756
Data Engineer,Mumbai,Male,B.Sc,9,1531628
Resarch Analyst,Noida,Male,Diploma,22,2040720
HR Business Analyst,New Delhi,Male,B.Com,5,875336
Salesforce FSL,Navi Mumbai and pune - Maharashtra,Female,B.Sc,8,1175148
AML Triage Analyst,Bengaluru,Female,Diploma,21,2303008
Data Engineer,Lucknow,Female,B.Tech/B.E.,23,1921568
ServiceNow,Ahmedabad,Male,B.Tech/B.E.,11,915386
ServiceNow,Noida,Male,Diploma,10,796292
ServiceNow,Bengaluru,Male,B.Tech/B.E.,12,2449525
Resarch Analyst,New Delhi,Female,B.A,20,640484
Business Analyst - Asset Management,Chennai,Female,B.Sc,23,1694104
Python Backend Developer,Jamshedpur,Male,B.Tech/B.E.,22,928403
Python Backend Developer,Pune,Male,B.Tech/B.E.,13,576665
Research Analyst,"New Delhi, Delhi, NOIDA, Pune - Delhi",Male,Diploma,14,1452531
Research Analyst,New Delhi,Male,B.Tech/B.E.,11,1546193
IICS,Bengaluru,Male,B.Tech/B.E.,15,1994122
python developer,Bengaluru,Male,B.A,10,2402591
Python Backend Developer,Chennai,Male,BCA,18,1664440
Python Backend Developer,Pune,Male,B.Com,27,718748
"python with ML, NLP",Bengaluru,Female,B.B.A/ B.M.S,28,1053022
Python Backend Developer,Chennai,Male,B.Tech/B.E.,10,2151794
Python Backend Developer,Noida,Male,B.Com,8,874554
Python Backend Developer,Mumbai,Female,B.Tech/B.E.,19,630403
Python Backend Developer,New Delhi,Male,B.A,16,1131611
Python Backend Developer,Visakhapatnam,Male,B.Sc,8,2020834
Python Backend Developer,Mohali,Female,B.Tech/B.E.,23,1767967
Security ISAM,Bengaluru,Female,B.Sc,16,1422750
Python Backend Developer,Kolkata,Male,B.Com,17,1733370
IICS,Bengaluru,Male,B.Sc,20,1402332
"python with ML, NLP",Kanpur,Male,Not Pursuing Graduation,9,1330748
Python Backend Developer,Bengaluru,Male,B.Tech/B.E.,26,1812743
Python Backend Developer,Gurugram,Female,B.Tech/B.E.,6,1006293
Python Backend Developer,Lucknow,Male,B.Tech/B.E.,5,1334072
Python Backend Developer,Gurugram,Male,B.Sc,26,2423772
Python Backend Developer,Nagpur,Male,B.Tech/B.E.,27,1998006
Python Backend Developer,Bengaluru,Female,BJMC,20,2202517
python Developer Data scienctist,Nagpur,Male,B.A,17,1049658
Python Backend Developer,Pune,Male,B.Tech/B.E.,22,991205
Python Backend Developer,New Delhi,Female,course on computer concepts,28,2493588
Python Backend Developer,New Delhi,Male,BCA,15,2302028
Python+Data Science+Computer Vision,New Delhi,Male,B.Des.,9,2052302
IICS Developer,Gudivada,Female,B.A,6,1098993
Python+Data Science,New Delhi,Male,B.Tech/B.E.,22,1921710
Python+Data Science,Siliguri,Male,BCA,20,2231316
Python Backend Developer,nioda - Uttar Pradesh,Male,B.Tech/B.E.,19,1238326
Python Backend Developer,Noida,Male,B.A,7,2402599
Python ML +NLP,Mumbai,Male,B.Tech/B.E.,12,1219807
Python ML +NLP,New Delhi,Female,B.Tech/B.E.,12,1926705
Python with ML,Hyderabad,Male,B.A,27,1746815
Data Science,Pune,Male,B.Com,23,1206291
Python Backend Developer,New Delhi,Male,B.Com,18,524799
Python+Data Science+Computer Vision,Noida,Male,Diploma,12,608713
HR DATA,Noida,Male,B.Com,14,1555975
Python with ML,Gurugram,Male,BCA,9,843633
Python Backend Developer,New Delhi,Male,B.A,13,507134
Data Science,New Delhi,Male,BCA,18,1758437
Data Science,Dehradun,Male,B.Sc,9,2083021
Data Science,Bengaluru,Female,B.Sc,14,906622
Python Backend Developer,Noida,Male,BCA,9,1611026
Data Science,New Delhi,Female,Diploma,17,1399823
IICS Developer,Kolkata,Female,B.Sc,5,2141294
Python ML +NLP,Erode,Male,B.Tech/B.E.,27,2418421
Python Backend Developer,New Delhi,Male,BCA,21,2222533
HR DATA,New Delhi,Male,bachelor of arts,8,959279
Python with ML,New Delhi,Male,B.Com,18,2002464
Data Science,Kolkata,Male,BCA,27,1212433
Python Backend Developer,New Delhi,Female,B.B.A/ B.M.S,9,1262037
Security ISAM,New Delhi,Female,B.Sc,7,1878740
Data Science,Noida,Male,B.Tech/B.E.,19,1479554
Data Science,New Delhi,Female,NA,20,1448592
Data Science,New Delhi,Female,B.Sc,11,815471
IICS Developer,New Delhi,Female,B.Sc,23,1396774
Data Science,Mumbai,Male,B.A,22,1244264
Python Backend Developer,New Delhi,Male,B.Tech/B.E.,18,2384663
Data Science,Chennai,Male,B.Tech/B.E.,14,698816
Python Backend Developer,New Delhi,Male,B.Sc,27,1031525
HR Data Analsyt,Hyderabad,Male,Diploma,13,2202803
Python+Data Science+Computer Vision,Hyderabad,Female,HSC,14,683226
Python Backend Developer,Hyderabad,Female,B.Tech/B.E.,18,652751
Python Backend Developer,New Delhi,Female,B.Tech/B.E.,22,932650
Python with ML,Pune,Female,BCA,14,1623996
Security ISAM,Bengaluru,Male,B.Tech/B.E.,6,1825881
Data Science,New Delhi,Female,B.Tech/B.E.,26,814472
Python+Data Science+Computer Vision,Bengaluru,Female,BCA,27,1621276
HR Data Analsyt,New Delhi,Female,NA,21,2194222
security engineer ISAm,Kolkata,Male,B.A,10,1356478
Security ISAM,New Delhi,Female,B.Com,26,1899984
python backend developer,Meerut,Male,B.Tech/B.E.,6,1018073
HR Data Analsyt,New Delhi,Male,BCA,24,653231
HR Data Analsyt,Kolkata,Female,BCA,7,1557182
Python+ DS,New Delhi,Male,B.Tech/B.E.,10,1292517
Python+ DS,Pune,Female,Diploma,14,1075429
Python+Data Science+Computer Vision,Noida,Male,B.Com,17,1148293
IICS Developer,New Delhi,Male,Diploma,25,1136398
HR Data Analsyt,Bhubaneswar,Male,BCA,8,1174785
python backend,New Delhi,Male,B.Tech/B.E.,7,512066
Python+DS,New Delhi,Male,BCA,16,2452680
Python+DS,Bhubaneswar,Female,B.Sc,18,1454357
Python+DS,New Delhi,Male,B.Tech/B.E.,18,1400061
Python+DS,New Delhi,Female,B.Sc,7,1358646
Python+Data Science+Computer Vision,New Delhi,Female,B.Com,24,1307296
Python Backend Developer,Noida,Male,B.Tech/B.E.,7,1255460
Data Engineer,Hyderabad,Male,B.Tech/B.E.,25,1192575
Python Backend Developer,Chennai,Female,B.A,9,740490
"python with ML, NLP",Rudrpur - Uttarakhand,Male,B.Sc,19,1937992
IICS,Kolkata,Male,BCA,17,1432973
Python Backend Developer,Hyderabad,Female,B.Com,20,2090947
"python with ML, NLP",Bengaluru,Female,B.Tech/B.E.,11,2092897
"python with ML, NLP",Bengaluru,Female,B.Com,13,1667798
Security ISAM,Hyderabad,Female,Diploma,11,1675288
IICS developer,Bengaluru,Male,BCA,5,1921871
python backend,Noida,Male,B.Tech/B.E.,7,695051
DATA ANALYST,Noida,Male,B.A,26,528293
Python Backend Developer,Hyderabad,Female,B.A,19,1712113
Data Science,Mumbai,Male,B.A,12,987300
Data Science,New Delhi,Female,B.Tech/B.E.,26,964497
Security ISAM,Mumbai,Male,BCA,14,743796
Python Backend Developer,Gurugram,Male,B.Sc,16,1190728
Python Backend Developer,Pune,Male,B.Tech/B.E.,15,1416632
Security ISAM,Mumbai,Male,BCA,13,2284596
Python Backend Developer,New Delhi,Male,B.Com,19,1554209
Python Backend Developer,Hyderabad,Male,B.Com,23,615883
Python Backend Developer,New Delhi,Female,B.Tech/B.E.,22,1005454
Python Backend Developer,Gurugram,Female,B.Tech/B.E.,19,1071952
Python Backend Developer,Kanpur,Female,B.Com,23,1769261
Python Backend Developer,Noida,Female,B.B.A/ B.M.S,24,878504
Python Backend Developer,New Delhi,Male,BCA,24,732792
Python Backend Developer,Dehradun,Female,B.Tech/B.E.,13,951387
ServiceNow,New Delhi,Male,BCA,25,1743972
Data Engineer - Snowflake & Azure,New Delhi,Female,B.B.A/ B.M.S,12,1699331
Data Engineer - AWS,Pune,Male,B.Tech/B.E.,9,2081350
IICS developer,Noida,Male,B.Tech/B.E.,22,792479
Research Analyst,Bengaluru,Male,B.Com,10,1649864
Python ML +NLP,New Delhi,Female,B.Sc,15,980299
Research analyst,Pune,Male,B.Com,8,646988
Research analyst,Hyderabad,Male,B.Com,22,570191
Research Analyst,Pune,Female,B.Tech/B.E.,21,1427799
Research analyst,New Delhi,Male,BCA,14,1142407
Python+DS,New Delhi,Male,B.Tech/B.E.,12,1298021
Python+DS,Kolkata,Male,B.Tech/B.E.,20,2412741
Production Support Middleware,Pune,Male,B.Tech/B.E.,5,1437362
Business and QA Analyst,Nagpur,Female,B.Com,24,1557847
HR Data Analyst BA,Bengaluru,Male,B.Tech/B.E.,22,1688102
Production Support Middleware,Lucknow,Male,B.Tech/B.E.,24,1237523
Python+DS,Pune,Male,B.Com,19,2410806
Python+DS,Faridabad,Male,B.Com,19,1207701
Python+DS,New Delhi,Male,B.Tech/B.E.,20,1349040
Research Analyst,Pune,Female,BCA,16,976591
Python ML +NLP,New Delhi,Male,B.Tech/B.E.,12,1537294
Python ML +NLP,Bengaluru,Male,B.B.A/ B.M.S,7,1908258
Research analyst,Dehradun,Female,B.Com,21,935910
Python ML +NLP,New Delhi,Male,B.Sc,19,640177
Python ML +NLP,New Delhi,Female,B.Tech/B.E.,23,1936723
Rpa developer,Chennai,Male,BCA,28,1796191
HR Data Analyst BA,New Delhi,Male,NA,18,2103914
Research analyst,Bengaluru,Male,B.Tech/B.E.,9,918942
Production Support Middleware,Jalgaon,Female,B.B.A/ B.M.S,23,1262460
Python+DS,Bengaluru,Male,B.Tech/B.E.,17,627456
Python+DS,Pune,Female,B.Tech/B.E.,12,507365
Python Developer,Pune,Female,B.Sc,5,719778
Research analyst,Mumbai,Female,BCA,21,573898
Business Analysis,Ghaziabad,Male,B.A,9,1186752
Research analyst,New Delhi,Female,B.Tech/B.E.,14,1413986
ServiceNow,Bengaluru,Male,B.Sc,13,753565
RPA developer,Pune,Male,B.Tech/B.E.,10,1513459
HR Data Analyst BA,Chennai,Female,B.Tech/B.E.,23,1677034
Research Analyst,Gurugram,Male,BCA,22,1183043
ServiceNow,Hyderabad,Male,B.Sc,27,1187008
Research Analyst,Pune,Male,B.Tech/B.E.,18,2234532
Research Analyst,Pune,Male,BCA,12,1971665
Research Analyst,vishakapatnam - Andhra Pradesh,Male,NA,10,1755332
Research Analyst,Chennai,Male,B.Tech/B.E.,26,1450260
Research Analyst,Chennai,Female,B.Com,28,2040008
Research Analyst,Chennai,Female,B.Tech/B.E.,6,2367496
Research Analyst,Bengaluru,Female,B.Tech/B.E.,26,1720637
Research Analyst,Pune,Male,B.Com,22,1939238
ServiceNow,Pune,Male,B.Sc,24,580121
ServiceNow,Mumbai,Female,B.Sc,6,2222196
Research Analyst,Pune,Male,B.Tech/B.E.,11,1809458
ServiceNow,Mumbai,Female,Diploma,18,1267602
Research Analyst,New Delhi,Female,BCA,7,1103384
Project Manager,Noida,Female,B.Tech/B.E.,15,826143
RPA developer,Ahemdabad - Gujarat,Male,BCA,5,2374111
Production Support Middleware,Noida,Female,BCA,10,643931
Research Analyst,Noida,Male,B.Tech/B.E.,21,1994437
RPA developer,Patna,Male,B.Sc,18,787425
ServiceNow,Bengaluru,Male,B.Sc,22,1369411
RPA developer,Lucknow,Male,Diploma,17,1471142
HR Data Analyst BA,Mumbai,Male,B.Tech/B.E.,19,2249798
Middle ware Production Support,Noida,Female,B.B.A/ B.M.S,21,2165401
RPA developer,Ghaziabad,Male,B.Sc,15,658580
Servicenow Secops,Pune,Female,B.Tech/B.E.,18,954253
Research Analyst,Navi Mumbai,Male,B.A,18,608238
ServiceNow,Noida,Male,B.Com,7,1014248
,Pune,Female,B.Tech/B.E.,13,2175425
"Business
Analyst/Product Owner",Nagpur,Female,B.Tech/B.E.,27,1852674
Middle ware Production Support,Hyderabad,Female,B.Sc,19,1125406
Research Analyst,Noida,Male,B.A,21,1411418
Research Analyst,Chennai,Female,B.Sc,13,643197
HR Data Analyst BA,New Delhi,Male,BCA,16,747041
Research Analyst,Visakhapatnam,Male,B.Tech/B.E.,26,1511631
Middle ware Production Support,Bengaluru,Female,B.Tech/B.E.,24,1884772
Research Analyst,Bengaluru,Female,B.Tech/B.E.,22,2164363
Servicenow Secops,Hyderabad,Male,B.Sc,26,2228010
Research Analyst,Noida,Male,B.Tech/B.E.,22,1375789
Research Analyst,Gurugram,Female,B.Com,23,2370700
Middle ware Production Support,"Fazilka , Punjab - Punjab",Female,BCA,9,1243807
HR Data Analyst BA,Coimbatore,Female,B.Sc,19,2402440
Research Analyst,Indore,Male,B.Sc,8,1372754
RPA Developer,Hyderabad,Female,B.Tech/B.E.,13,645164
HR Data Analyst BA,Noida,Female,B.Tech/B.E.,25,1036145
Research Analyst,"Cuttack, Odisha - Odisha",Male,B.Com,25,915142
BigQuery Developer,New Delhi,Female,B.Tech/B.E.,21,1123916
Research Analyst,Hyderabad,Male,BCA,20,1001765
Research Analyst,Kanpur,Female,B.Tech/B.E.,14,2100440
Research Analyst,Navi Mumbai,Male,B.A,5,1787235
Research Analyst,Bhubaneswar,Female,NA,17,921870
BigQuery Developer,New Delhi,Male,Diploma,10,1807326
Research Analyst,Pune,Male,B.Tech/B.E.,8,1107002
Research Analyst,Chennai,Female,B.Com,11,1408323
Research Analyst,Ayodhya - Uttar Pradesh,Female,B.Com,15,1882716
Research Analyst,Hyderabad,Male,B.A,12,521677
Research Analyst,Hubli,Female,B.Com,25,1750496
Servicenow,Gurugram,Female,B.A,14,2318777
Research Analyst,Mumbai,Female,B.Tech/B.E.,17,895632
Murex Developer,Bengaluru,Male,B.Com,19,2028639
research Analyst,Patna,Male,B.Tech/B.E.,21,1366079
Servicenow,Pune,Male,B.Tech/B.E.,5,1210812
Research Analyst,Pune,Male,B.Sc,9,775394
Research Analyst,Hyderabad,Male,B.Tech/B.E.,13,1617687
Research Analyst,Nagaur,Male,Diploma,8,2351626
Research Analyst,New Delhi,Female,BCA,16,1185403
Research Analyst,Lucknow,Female,B.Tech/B.E.,23,589095
Research Analyst,Noida,Male,B.Tech/B.E.,9,2036863
Research Analyst,Chennai,Female,B.Tech/B.E.,11,2353177
Research Analyst,New Delhi,Male,B.Com,27,879615
ELK Engineer,Kaithal,Male,B.A,23,2015362
ELK Engineer,Bengaluru,Male,B.Com,13,1037552
iOS,New Delhi,Male,B.Com,9,946221
ELK Engineer,Hyderabad,Male,B.B.A/ B.M.S,14,568616
Druid Apache,New Delhi,Female,B.A,12,845642
BigQuery Developer,Mumbai Suburban,Male,BCA,12,779650
BigQuery Developer,Hyderabad,Male,B.A,6,2417671
BigQuery Developer,New Delhi,Male,B.Tech/B.E.,25,2223301
BigQuery Developer,Kolkata,Female,B.Tech/B.E.,15,2403721
BigQuery Developer,Bengaluru,Male,B.A,8,1475625
BigQuery Developer,Noida,Male,B.B.A/ B.M.S,16,2465043
apache druid,Noida,Female,Diploma,22,2439843
iOS,Coimbatore,Male,B.Tech/B.E.,9,1957085
SYBASE,Mumbai,Male,B.Tech/B.E.,10,1588047
SYBASE,Gurugram,Male,B.Tech/B.E.,16,647404
iOS,Noida,Female,B.Tech/B.E.,18,802640
SYBASE,Ghaziabad,Male,B.A,6,1939901
apache druid,Bhatkal,Male,B.Tech/B.E.,27,1626821
Security engineer,Noida,Female,NA,5,1156577
SYBASE,Chennai,Male,B.Tech/B.E.,11,1977620
Math,Noida,Male,B.Com,28,1720330
iOS,Pune,Male,B.Sc,12,1272234
Computer vision,Prayagraj,Female,Diploma,10,2356593
Computer vision,Bengaluru,Female,B.Com,5,1947590
Computer vision,Gurugram,Male,B.Sc,22,1181394
Computer vision,New Delhi,Male,Diploma,19,2053728
SYBASE,Gurugram,NA,B.Tech/B.E.,28,2496263
SYBASE,Hyderabad,Female,B.Tech/B.E.,26,2023371
ELK Engineer,Pune,Female,Diploma,16,1991353
iOS,New Delhi,Male,B.Tech/B.E.,20,826543
ELK Engineer,Noida,Female,B.A,13,2355456
Computer vision,Not Mentioned,Male,B.Sc,12,2315733
Computer vision,Kochi,Female,B.Tech/B.E.,28,2095194
iOS,Chandigarh,Female,B.Tech/B.E.,15,607603
ELK Engineer,Chennai,Male,Diploma,13,1410838
apache druid,Noida,Male,B.Tech/B.E.,26,795546
iOS,Gurugram,Male,B.Tech/B.E.,24,2346588
PAYTHON AI-ML,Amritsar,Male,B.A,28,711779
ServiceNow Dev. (SAM),Jalgaon,Male,BCA,25,2219855
ServiceNow Dev. (SAM),Kolhapur,Female,B.Com,22,1845729
Maths Teacher,Bilaspur,Male,B.B.A/ B.M.S,26,1341521
apache druid,Noida,Male,B.Tech/B.E.,16,1145212
